"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Réunion",638,248.111,259.237,268.374,276.361,283.87,291.4,299.276,307.653,316.535,325.805,335.329,345.051,355.087,365.765,377.511,390.531,405.103,420.87,436.627,450.746,462.096,470.253,475.664,479.16,481.993,485.134,488.763,492.757,497.428,503.071,509.883,518.099,527.682,538.195,549,559.64,569.94,580.048,590.203,600.78,612.034,624.006,636.547,649.488,662.59,675.664,688.66,701.577,714.327,726.817,738.984,750.771,762.178,773.264,784.124,794.833,805.399,815.803,826.048,836.137,846.068
"Rwanda",646,2072.195,2128.012,2187.504,2250.407,2316.489,2385.553,2457.436,2532.004,2609.162,2688.844,2771.018,2855.692,2942.908,3032.745,3125.315,3220.77,3319.229,3420.89,3526.088,3635.227,3748.672,3866.501,3988.895,4116.446,4249.861,4389.619,4536.057,4688.997,4847.747,5011.299,5178.927,5343.129,5502.531,5669.024,5859.27,6080.907,6356.23,6672.124,6959.599,7124.87,7109.538,6871.192,6452.688,5984.449,5648.306,5570.206,5803.83,6297.733,6944.116,7582.861,8098.344,8456.968,8696.378,8857.859,9009.655,9201.727,9441.406,9710.531,10004.092,10311.275,10624.005
"Seychelles",690,36.322,36.891,37.451,37.978,38.459,38.899,39.312,39.731,40.195,40.752,41.443,42.29,43.28,44.363,45.469,46.544,47.566,48.554,49.535,50.56,51.659,52.841,54.087,55.357,56.605,57.791,58.906,59.958,60.952,61.897,62.807,63.677,64.505,65.31,66.107,66.914,67.737,68.572,69.411,70.234,71.031,71.8,72.549,73.285,74.016,74.755,75.494,76.235,76.999,77.81,78.685,79.634,80.64,81.66,82.631,83.513,84.291,84.975,85.568,86.079,86.518
"Somalia",706,2264.081,2313.526,2363.736,2415.015,2467.617,2521.75,2577.566,2635.172,2694.628,2755.972,2819.246,2884.55,2952.068,3022.091,3094.969,3170.982,3254.907,3347.825,3442.418,3528.415,3601.206,3646.798,3673.532,3725.116,3860.931,4117.971,4521.026,5042.594,5603.598,6093.765,6435.589,6597.719,6608.106,6521.168,6419.685,6363.791,6372.348,6426.592,6504.572,6570.21,6599.249,6585.079,6543.38,6498.41,6484.228,6524.697,6628.554,6786.636,6982.94,7193.12,7399.033,7596.92,7791.254,7981.955,8170.899,8359.859,8547.497,8733.493,8922.26,9119.848,9330.872
"Uganda",800,5158.193,5306.689,5453.244,5599.541,5747.415,5898.851,6056.012,6221.214,6396.841,6585.22,6788.219,7006.823,7240.764,7488.366,7746.988,8014.352,8290.837,8576.166,8866.641,9157.569,9445.932,9730.174,10012.125,10296.444,10589.763,10897.136,11221.247,11561.734,11917.048,12284.315,12662.131,13049.012,13447.769,13866.291,14315.09,14801.113,15327.718,15891.143,16482.365,17088.426,17699.717,18314.701,18935.726,19561.967,20193.432,20831.075,21473.592,22123.185,22788.843,23482.533,24213.12,24984.181,25794.397,26641.627,27521.632,28431.204,29370.251,30339.895,31339.392,32367.909,33424.683
"United Republic of Tanzania",834,7649.766,7847.333,8055.939,8274.761,8503.222,8740.991,8987.99,9244.386,9510.56,9787.066,10074.485,10373.274,10683.638,11005.471,11338.515,11682.835,12038.154,12405.3,12786.751,13185.749,13604.523,14044.48,14504.837,14982.938,15474.884,15977.99,16491.445,17016.577,17555.45,18111.097,18685.789,19281.182,19897.071,20531.76,21182.6,21848.29,22525.148,23215.06,23928.658,24680.404,25478.979,26331.511,27230.502,28152.305,29064.223,29943.732,30783.155,31592.45,32388.671,33197.305,34038.161,34917.073,35832.494,36788.281,37786.946,38831.024,39923.609,41068.185,42267.667,43524.738,44841.226
"Zambia",894,2340.352,2396.669,2456.377,2519.173,2584.872,2653.413,2724.859,2799.397,2877.314,2958.976,3044.733,3134.831,3229.329,3328.063,3430.747,3537.265,3647.47,3761.707,3880.914,4006.34,4138.837,4278.863,4426.079,4579.56,4737.942,4900.255,5066.012,5235.519,5409.528,5589.172,5775.165,5967.511,6165.56,6368.542,6575.403,6785.211,6998.307,7214.499,7431.752,7647.45,7860.053,8067.972,8272.498,8478.471,8692.599,8919.456,9161.931,9418.12,9682.058,9945.115,10201.562,10449.825,10693.471,10938.261,11192.422,11462.365,11750.105,12055.384,12379.612,12723.746,13088.57
"Zimbabwe",716,2746.854,2830.448,2918.424,3010.186,3105.348,3203.736,3305.402,3410.607,3519.798,3633.542,3752.373,3876.616,4006.236,4140.773,4279.524,4422.087,4568.266,4718.55,4874.043,5036.244,5206.229,5385.233,5573.154,5768.19,5967.705,6170.26,6374.197,6581.329,6797.807,7032.001,7289.463,7571.447,7874.642,8194.203,8523.09,8855.279,9189.169,9523.376,9852.244,10169.188,10469.202,10748.215,11005.69,11244.552,11469.872,11684.693,11891.29,12086.519,12261.742,12405.236,12509.477,12575.015,12607.791,12612.956,12597.877,12570.686,12529.655,12481.245,12451.543,12473.992,12571.454
"Middle Africa",911,26116.013,26605.844,27113.156,27640.519,28190.051,28763.392,29361.691,29985.627,30635.473,31311.235,32012.966,32741.172,33497.122,34282.986,35101.46,35954.562,36844.718,37772.201,38734.397,39727.31,40748.87,41798.251,42879.018,43998.854,45168.026,46394.151,47681.419,49028.985,50433.339,51888.506,53390.752,54943.603,56551.65,58213.933,59928.876,61697.995,63507.711,65363.831,67309.316,69401.909,71676.048,74163.361,76834.212,79587.713,82284.352,84829.124,87176.924,89370.987,91512.637,93749.548,96187.213,98859.537,101729.97,104748.214,107834.726,110931.181,114025.297,117135.889,120272.194,123452.262,126689.015
"Angola",24,4147.509,4219.332,4296.534,4376.947,4458.962,4541.519,4624.143,4706.909,4790.376,4875.462,4963.068,5053.693,5147.083,5242.084,5337.063,5431.135,5524.09,5617.242,5713.156,5815.282,5926.333,6047.736,6179.685,6322.194,6474.796,6637.419,6808.85,6989.988,7185.188,7400.231,7638.42,7903.368,8191.774,8491.682,8786.652,9065.562,9322.55,9562.796,9799.68,10052.567,10335.052,10653.515,11002.91,11371.75,11742.96,12105.105,12452.725,12792.237,13138.265,13511.575,13926.373,14388.244,14890.474,15419.943,15957.46,16489.021,17010.366,17525.367,18037.964,18555.115,19081.912
