"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Tajikistan",762,1531.502,1577.037,1626.4,1677.745,1729.928,1782.503,1835.763,1890.702,1948.89,2012.262,2082.499,2160.358,2245.098,2334.221,2424.189,2512.493,2598.074,2681.78,2765.317,2851.284,2941.501,3036.693,3136.061,3238.09,3340.561,3441.99,3541.938,3641.296,3741.547,3844.809,3952.691,4064.671,4180.321,4301.334,4429.847,4566.786,4713.454,4867.754,5023.022,5170.285,5303.152,5418.785,5519.021,5607.922,5691.845,5775.404,5860.334,5945.181,6027.676,6104.268,6172.807,6232.587,6285.809,6336.724,6391.12,6453.24,6524.634,6604.426,6691.416,6783.39,6878.637
"Turkmenistan",795,1211,1228.378,1252.66,1282.584,1317.126,1355.501,1397.172,1441.843,1489.418,1539.955,1593.501,1649.914,1708.711,1769.008,1829.697,1890,1949.425,2008.148,2066.889,2126.749,2188.499,2252.386,2318.07,2385.039,2452.528,2520.002,2587.417,2655.036,2723.006,2791.575,2861,2931.343,3002.785,3075.867,3151.262,3229.499,3310.059,3392.823,3479.088,3570.558,3668,3772.35,3881.973,3991.917,4095.512,4188.01,4267.69,4335.991,4395.293,4449.427,4501.419,4551.737,4600.093,4647.912,4696.771,4747.839,4801.847,4858.843,4918.396,4979.672,5041.995
"Uzbekistan",860,6313.997,6461.092,6633.911,6826.552,7034.674,7255.501,7487.907,7732.33,7990.524,8265.144,8558.503,8871.244,9201.176,9542.785,9888.629,10233.502,10574.321,10912.708,11253.87,11605.561,11972.994,12358.535,12759.275,13168.838,13578.159,13980.997,14374.729,14762.133,15148.932,15543.52,15951.899,16375.762,16812.955,17260.951,17715.706,18174.143,18634.041,19095.67,19561.181,20033.912,20515.248,21005.364,21500.062,21990.917,22466.866,22919.357,23347.452,23751.722,24127.427,24469.439,24775.61,25042.537,25275.028,25489.492,25708.188,25947.414,26213.729,26503.833,26811.974,27128.063,27444.702
"Southern Asia",5501,489572.937,498493.045,507663.833,517166.345,527061.545,537390.346,548172.629,559408.215,571079.722,583157.378,595613.365,608437.152,621648.898,635305.207,649482.832,664230.81,679604.198,695576.409,712018.387,728749.087,745654.722,762663.456,779859.32,797473.137,815826.457,835143.307,855508.474,876832.9,898952.714,921620.928,944653.305,967981.135,991641.688,1015680.251,1040180.829,1065190.977,1090697.955,1116627.738,1142892.015,1169376.34,1195984.984,1222668.922,1249402.009,1276138.649,1302837.165,1329458.48,1355972.778,1382346.848,1408537.518,1434499.902,1460201.383,1485635.512,1510805.4,1535705.165,1560333.335,1584701.987,1608778.259,1632593.596,1656301.674,1680107.113,1704146.352
"Afghanistan",4,8151.455,8276.82,8407.148,8542.906,8684.494,8832.253,8986.449,9147.286,9314.915,9489.453,9671.046,9859.928,10056.48,10261.254,10474.903,10697.983,10927.724,11163.656,11411.022,11676.99,11964.906,12273.101,12593.688,12915.499,13223.928,13505.544,13766.792,14003.408,14179.656,14249.493,14185.729,13984.092,13672.87,13300.056,12931.791,12625.292,12372.113,12183.387,12156.685,12414.686,13032.161,14069.854,15472.076,17053.213,18553.819,19789.88,20684.982,21299.35,21752.257,22227.543,22856.302,23677.385,24639.841,25678.639,26693.486,27614.718,28420.974,29145.841,29839.994,30577.756,31411.743
"Bangladesh",50,37894.678,39112.507,40207.573,41257.838,42322.978,43444.382,44644.395,45927.072,47280.463,48680.41,50101.943,51531.438,52977.254,54474.293,56071.08,57791.778,59681.186,61702.785,63703.327,65474.474,66881.158,67849.312,68461.849,68933.357,69567.5,70582.168,72053.923,73915.723,76066.342,78342.736,80624.423,82883.616,85156.396,87459.802,89828.434,92283.598,94825.499,97429.29,100062.322,102681.627,105256.026,107768.749,110225.555,112645.46,115059.015,117486.952,119928.682,122370.403,124803.351,127214.841,129592.275,131944.584,134266.428,136514.768,138633.401,140587.922,142353.501,143956.805,145478.3,147030.145,148692.131
"Bhutan",64,168.377,174.4,180.287,186.067,191.769,197.421,203.054,208.696,214.379,220.133,225.993,232,238.201,244.653,251.419,258.559,266.072,274,282.495,291.747,301.879,312.929,324.815,337.37,350.365,363.603,377.068,390.732,404.375,417.734,430.633,442.648,453.793,464.831,476.846,490.438,506.423,524.133,540.918,553.157,558.5,555.747,546.356,533.895,523.417,518.584,520.529,528.222,540.507,555.377,571.262,588.05,606.024,624.431,642.4,659.293,674.681,688.581,701.363,713.665,725.94
"India",356,371856.5,378201.181,384822.769,391724.533,398908.212,406374.02,414120.476,422144.572,430442.283,439009.418,447844.159,456949.783,466337.036,476025.147,486038.945,496400.381,507115.411,518192.403,529658.233,541544.619,553873.89,566651.479,579871.075,593526.633,607606.569,622096.682,636992.593,652279.308,667917.437,683857.312,700058.589,716493.309,733151.769,750033.539,767146.806,784490.842,802051.806,819800.055,837699.675,855707.358,873785.449,891910.18,910064.576,928226.051,946373.316,964486.155,982553.253,1000558.144,1018471.141,1036258.683,1053898.107,1071374.264,1088694.08,1105885.689,1122991.192,1140042.863,1157038.539,1173971.629,1190863.679,1207740.408,1224614.327
"Iran (Islamic Republic of)",364,17414.215,17772.538,18153.564,18557.412,18984.036,19433.222,19904.579,20397.551,20911.449,21445.515,21999.103,22571.865,23163.924,23775.945,24408.927,25063.612,25743.217,26448.218,27173.692,27912.687,28662.011,29421.198,30197.689,31006.191,31866.19,32793.173,33788.867,34853.522,35998.637,37237.306,38576.541,40012.129,41533.339,43130.529,44790.735,46497.235,48257.311,50052.662,51810.746,53437.77,54870.583,56071.545,57067.645,57940.444,58808.655,59757.114,60815.686,61955.73,63133.032,64278.307,65342.319,66313.553,67212.85,68061.695,68893.323,69732.007,70582.086,71435.498,72289.291,73137.148,73973.63
"Maldives",462,73.718,74.174,75.105,76.388,77.924,79.642,81.492,83.454,85.523,87.716,90.05,92.526,95.115,97.757,100.37,102.909,105.325,107.659,110.056,112.714,115.772,119.308,123.266,127.491,131.752,135.895,139.851,143.701,147.623,151.872,156.626,161.931,167.708,173.861,180.238,186.72,193.275,199.898,206.522,213.067,219.474,225.709,231.756,237.606,243.256,248.712,253.96,259.002,263.867,268.6,273.236,277.791,282.266,286.665,290.988,295.24,299.419,303.539,307.632,311.739,315.885
"Nepal",524,8230.991,8372.203,8512.546,8653.473,8796.252,8941.972,9091.534,9245.658,9404.902,9569.7,9740.462,9917.687,10102.057,10294.48,10495.972,10707.313,10928.95,11160.972,11403.306,11655.685,11917.872,12189.968,12472,12763.547,13064.044,13373.069,13690.544,14016.547,14351.017,14693.93,15045.329,15405.456,15774.532,16152.598,16539.682,16936.006,17341.408,17756.51,18183.258,18624.187,19081.064,19554.17,20042.806,20546.441,21064.15,21594.872,22137.784,22691.788,23255.046,23825.372,24400.606,24980.184,25562.573,26143.53,26717.875,27281.945,27833.665,28373.838,28905.358,29432.743,29959.364
"Pakistan",586,37542.38,38147.097,38809.2,39525.185,40292.359,41108.839,41973.583,42886.361,43847.662,44858.549,45920.204,47033.454,48198.347,49413.973,50678.979,51993.059,53359.18,54780.499,56257.61,57790.852,59382.651,61033.754,62751.275,64551.904,66456.937,68482.526,70632.133,72904.319,75303.46,77832.927,80492.664,83280.137,86187.238,89200.001,92300.277,95470.38,98710.951,102011.892,105332.464,108621.443,111844.679,114970.102,118010.303,121029.915,124121.817,127346.713,130737.306,134255.952,137808.222,141261.069,144522.192,147557.907,150407.242,153139.895,155860.066,158645.463,161513.324,164445.596,167442.258,170494.367,173593.383
"Sri Lanka",144,8240.623,8362.125,8495.641,8642.543,8803.521,8978.595,9167.067,9367.565,9578.146,9796.484,10020.405,10248.471,10480.484,10717.705,10962.237,11215.216,11477.133,11746.217,12018.646,12289.319,12554.583,12812.407,13063.663,13311.145,13559.172,13810.647,14066.703,14325.64,14584.167,14837.618,15082.771,15317.817,15544.043,15765.034,15986.02,16210.466,16439.169,16669.911,16899.425,17123.045,17337.048,17542.866,17740.936,17925.624,18089.72,18229.498,18340.596,18428.257,18510.095,18610.11,18745.084,18921.794,19134.096,19369.853,19610.604,19842.536,20062.07,20272.269,20473.799,20669.142,20859.949
"South-Eastern Asia",920,172905.173,176468.066,180287.726,184357.643,188671.438,193222.897,198005.965,203014.741,208243.374,213685.936,219335.963,225186.002,231227.195,237449.108,243840.225,250389.405,257082.484,263909.174,270866.154,277952.722,285162.758,292510.34,299979.536,307500.223,314980.199,322362.196,329600.98,336736.975,343903.102,351285.184,359012.067,367123.074,375562.3,384244.905,393042.601,401853.713,410655.66,419452.156,428198.031,436846.112,445361.35,453716.145,461906.799,469954.124,477894.883,485756.414,493539.646,501234.672,508845.882,516377.353,523831.418,531215.389,538528.775,545756.761,552878.45,559881.037,566754.65,573509.662,580177.815,586803.064,593415.285
"Brunei Darussalam",96,48.001,51.07,54.083,57.085,60.113,63.194,66.348,69.587,72.916,76.335,79.846,83.458,87.192,91.088,95.191,99.536,104.13,108.968,114.068,119.44,125.088,131.01,137.181,143.548,150.039,156.595,163.208,169.865,176.488,182.986,189.3,195.394,201.301,207.122,213.002,219.05,225.288,231.7,238.305,245.112,252.125,259.357,266.794,274.371,282,289.614,297.188,304.726,312.216,319.654,327.036,334.348,341.585,348.771,355.943,363.123,370.317,377.513,384.695,391.837,398.92
"Cambodia",116,4345.8,4457.418,4555.803,4648.644,4741.92,4839.899,4945.074,5058.226,5178.625,5304.357,5433.306,5564.215,5697.598,5836.139,5983.575,6141.404,6310.32,6485.769,6657.435,6811.663,6937.996,7039.481,7118.136,7162.333,7157.572,7097.8,6972.559,6796.368,6618.684,6506.208,6505.693,6636.869,6883.519,7211.815,7570.081,7919.802,8250.479,8571.13,8885.701,9203.893,9531.928,9868.226,10205.755,10539.239,10862.069,11169.233,11458.858,11731.187,11986.128,12224.414,12446.949,12653.684,12845.222,13024.171,13193.961,13357.574,13515.884,13669.857,13822.644,13977.903,14138.255
"Indonesia",360,74837.31,75978.352,77258.01,78674.341,80223.922,81901.847,83701.632,85615.311,87633.748,89747.149,91946.612,94225.771,96582.241,99018.23,101538.797,104146.696,106839.814,109612.753,112461.009,115379.062,118361.74,121405.753,124507.744,127662.293,130863.441,134105.926,137382.075,140688.052,144026.72,147403.681,150820.044,154275.429,157758.44,161245.684,164706.919,168119.209,171472.345,174767.379,178006.8,181197.879,184345.939,187451.8,190512.441,193525.648,196488.446,199400.339,202257.039,205063.468,207839.287,210610.776,213395.411,216203.499,219026.365,221839.235,224606.531,227303.175,229918.547,232461.746,234951.154,237414.495,239870.937
"Lao People's Democratic Republic",418,1682.917,1724.429,1766.485,1809.151,1852.491,1896.569,1941.441,1987.164,2033.789,2081.371,2129.968,2179.647,2230.493,2282.604,2336.091,2391.06,2447.006,2503.88,2562.718,2624.932,2691.207,2762.977,2839.169,2914.999,2983.956,3041.847,3086.518,3120.663,3150.906,3186.599,3234.555,3296.978,3372.093,3457.86,3550.669,3647.754,3748.525,3853.6,3962.714,4075.767,4192.414,4312.348,4434.57,4557.216,4677.981,4795.112,4907.96,5016.576,5120.845,5220.92,5317.06,5408.912,5496.7,5582.028,5667.055,5753.341,5841.572,5931.385,6022.001,6112.143,6200.894
"Malaysia",458,6109.907,6261.928,6433.126,6618.149,6813.133,7015.713,7225.097,7441.991,7668.339,7906.924,8160.113,8428.536,8709.925,8998.621,9286.976,9569.499,9844.029,10112.042,10376.21,10640.883,10909.353,11182.967,11461.117,11742.976,12027.04,12312.736,12600.292,12891.897,13191.366,13503.629,13832.586,14178.739,14542.156,14925.545,15331.937,15762.856,16220.169,16701.745,17200.067,17704.839,18208.562,18707.774,19204.087,19701.263,20205.446,20720.81,21247.102,21781.499,22322.448,22867.698,23414.909,23964.621,24515.323,25060.184,25590.453,26100.241,26586.287,27051.142,27502.008,27949.395,28401.017
"Myanmar",104,17157.508,17463.258,17786.203,18127.006,18485.791,18862.149,19255.085,19663.071,20084.16,20516.191,20957.397,21407.053,21866.045,22337.108,22824.142,23330.184,23854.648,24397.064,24960.539,25548.93,26164.131,26807.57,27475.978,28160.632,28849.728,29534.378,30210.895,30880.196,31543.652,32204.485,32864.901,33524.053,34179.992,34832.636,35481.981,36127.741,36770.437,37409.257,38041.034,38661.616,39268.304,39855.885,40425.088,40985.963,41552.659,42133.199,42735.941,43352.191,43952.526,44496.687,44957.66,45323.903,45609.292,45843.675,46070.248,46321.162,46605.278,46915.826,47250.315,47601.374,47963.012
"Philippines",608,18396.52,19056.037,19748.049,20465.543,21203.425,21958.518,22729.664,23517.62,24324.766,25154.61,26010.295,26893.021,27800.656,28727.14,29664.173,30606.162,31551.09,32501.839,33463.836,34444.983,35451.392,36485.095,37545.635,38633.697,39749.34,40892.836,42064.468,43265.378,44497.521,45763.245,47063.923,48399.114,49767.259,51166.963,52596.291,54052.849,55537.11,57046.529,58572.071,60102.139,61628.668,63146.876,64659.225,66173.874,67703.053,69255.386,70831.419,72427.13,74040.838,75669.587,77309.965,78964.389,80630.416,82293.99,83936.698,85546.427,87116.275,88652.631,90173.139,91703.09,93260.798
"Singapore",702,1022.098,1067.968,1120.282,1178.077,1240.283,1305.726,1373.111,1441.037,1508.042,1572.672,1633.694,1690.329,1742.448,1790.662,1836.072,1879.561,1921.095,1960.551,1998.65,2036.291,2074.099,2112.908,2152.644,2191.97,2228.945,2262.444,2291.674,2317.849,2344.275,2375.464,2414.563,2463.269,2520.493,2583.219,2646.959,2708.638,2766.83,2823.012,2880.47,2943.941,3016.624,3099.465,3190.692,3287.42,3385.486,3481.674,3576.537,3670.693,3761.263,3844.693,3919.3,3980.956,4032.217,4086.05,4160.158,4265.999,4409.955,4584.894,4772.216,4945.645,5086.418
"Thailand",764,20607.323,21150.234,21718.195,22312.977,22936.039,23588.546,24271.352,24985.01,25729.78,26505.65,27312.399,28149.653,29016.942,29913.729,30839.333,31792.743,32771.644,33774.026,34799.247,35846.93,36915.397,38004.462,39109.571,40219.377,41319.38,42398.941,43453.204,44483.729,45494.423,46492.281,47482.643,48460.289,49422.519,50379.788,51346.204,52328.663,53339.762,54368.583,55370.526,56284.973,57072.058,57711.519,58225.969,58671.177,59126.69,59650.157,60258.113,60933.752,61660.383,62408.639,63155.029,63898.879,64642.931,65370.277,66060.383,66698.483,67276.383,67796.451,68267.982,68706.122,69122.234
"Timor-Leste",626,433.398,438.379,443.63,449.21,455.164,461.526,468.314,475.533,483.177,491.231,499.676,508.499,517.698,527.284,537.278,547.681,558.11,568.44,579.184,591.068,604.382,620.126,637.59,653.351,662.785,662.962,652.072,632.134,608.743,589.744,580.707,583.764,597.067,617.347,639.513,659.846,677.073,692.306,706.986,723.453,743.145,767.267,794.561,821.141,841.687,852.817,852.28,842.341,829.617,823.386,830.089,852.522,888.099,931.324,974.024,1010.367,1038.572,1060.77,1079.749,1099.887,1124.355
"Viet Nam",704,28264.391,28818.993,29403.86,30017.46,30659.157,31329.21,32028.847,32760.191,33526.032,34329.446,35172.657,36055.82,36975.957,37926.503,38898.597,39884.879,40880.598,41883.842,42893.258,43908.54,44927.973,45957.991,46994.771,48015.047,48987.973,49895.731,50724.015,51490.844,52250.324,53076.862,54023.152,55109.176,56317.461,57616.926,58959.045,60307.305,61647.642,62986.915,64333.357,65702.5,67101.583,68535.628,69987.617,71416.812,72769.366,74008.073,75117.209,76111.109,77020.331,77890.899,78758.01,79629.676,80500.625,81377.056,82262.996,83161.145,84075.58,85007.447,85951.912,86901.173,87848.445
"Western Asia",922,50979.328,52375.317,53837.577,55347.341,56891.494,58462.577,60059.053,61685.048,63349.455,65064.518,66841.448,68685.843,70593.591,72549.165,74530.521,76523.587,78523.305,80540.131,82594.622,84715.543,86924.681,89230.991,91632.229,94125.524,96703.752,99362.691,102095.796,104907.643,107817.237,110850.248,114020.823,117340.208,120790.883,124322.985,127868.523,131378.955,134828.932,138231.359,141622.404,145057.713,148574.771,152196.289,155902.436,159638.49,163327.054,166918.941,170397.328,173799.765,177198.848,180695.974,184368.724,188221.469,192242.74,196472.012,200952.723,205703.194,210755.371,216069.204,221501.158,226856.362,231994.769
"Armenia",51,1353.506,1382.982,1419.913,1463.017,1511.188,1563.508,1619.242,1677.837,1738.902,1802.171,1867.396,1934.239,2002.17,2070.427,2138.133,2204.65,2269.475,2332.624,2394.635,2456.37,2518.408,2580.894,2643.464,2705.584,2766.495,2825.65,2882.831,2938.181,2991.954,3044.564,3096.298,3145.885,3192.877,3239.212,3287.588,3339.147,3396.511,3457.054,3510.439,3542.72,3544.695,3512.051,3449.94,3370.373,3290.54,3223.173,3172.185,3134.836,3109.101,3090.624,3076.098,3065.81,3061.067,3060.554,3062.612,3065.954,3069.844,3074.181,3079.087,3084.979,3092.072
"Azerbaijan",31,2895.997,2964.962,3044.695,3132.625,3226.823,3326.002,3429.548,3537.49,3650.388,3769.151,3894.494,4026.358,4163.396,4302.765,4440.733,4574.5,4702.919,4826.262,4944.932,5059.921,5172.002,5281.238,5387.375,5490.572,5591.016,5688.997,5784.587,5878.259,5971.198,6064.905,6160.502,6258.49,6358.78,6461.139,6565.062,6670.151,6775.858,6882.16,6989.708,7099.449,7211.692,7327.57,7445.925,7562.075,7669.735,7764.798,7845.31,7913.692,7975.648,8039.312,8110.723,8191.464,8280.252,8376.733,8479.668,8587.902,8701.719,8821.012,8943.6,9066.604,9187.783
"Bahrain",48,115.612,116.86,119.567,123.402,128.072,133.321,138.929,144.713,150.526,156.258,161.825,167.179,172.294,177.17,181.833,186.351,190.734,195.111,199.818,205.291,211.878,219.532,228.255,238.468,250.683,265.16,282.245,301.559,321.751,340.98,357.957,372.074,383.785,394.164,404.829,416.929,430.845,446.142,462.184,477.995,492.891,506.685,519.696,532.362,545.329,559.069,574.914,592.986,611.237,626.765,638.193,642.51,642.07,647.164,671.76,724.807,811.41,925.733,1052.359,1169.578,1261.835
"Cyprus",196,494.014,500.377,506.628,513.44,521.199,529.991,539.596,549.5,558.946,567.038,572.997,576.469,577.768,577.992,578.71,581.056,585.4,591.398,598.592,606.224,613.735,620.987,628.14,635.261,642.496,649.918,657.685,665.676,673.386,680.13,685.51,689.265,691.792,694.146,697.782,703.752,712.396,723.434,736.531,751.1,766.663,783.189,800.707,818.858,837.205,855.424,873.277,890.758,908.059,925.504,943.294,961.482,979.874,998.134,1015.806,1032.562,1048.272,1063.027,1077.001,1090.473,1103.647
"Georgia",268,3527.004,3584.762,3646.426,3710.244,3774.898,3839.498,3903.604,3967.208,4030.666,4094.586,4159.5,4225.506,4291.963,4357.354,4419.666,4477.493,4530.176,4578.194,4622.68,4665.358,4707.491,4749.634,4791.473,4832.396,4871.428,4907.996,4941.721,4973.247,5004.247,5036.986,5073,5111.551,5151.606,5193.836,5239.068,5287.002,5339.661,5394.502,5441.216,5466.1,5459.999,5418.521,5346.229,5254.049,5157.814,5069.269,4992.336,4924.569,4863.694,4805.14,4745.765,4685.331,4626.034,4569.88,4519.607,4477.006,4442.825,4415.956,4394.018,4373.63,4352.244
"Iraq",368,5719.192,5915.805,6092.562,6255.685,6410.642,6562.134,6714.083,6869.646,7031.285,7200.857,7379.922,7570.069,7773.193,7991.619,8227.763,8483.109,8759.064,9054.873,9367.055,9690.613,10021.785,10358.219,10700.247,11049.889,11410.46,11783.644,12170.881,12569.201,12970.635,13364.514,13743.534,14106.693,14457.565,14799.456,15137.56,15477.228,15818.309,16164.205,16528.25,16927.393,17373.767,17871.623,18417.924,19008.018,19633.844,20288.226,20972.915,21686.777,22416.19,23143.629,23857.458,24552,25233.067,25914.982,26618.523,27359.461,28140.999,28960.581,29821.136,30724.614,31671.591
"Israel",376,1257.97,1354.111,1451.533,1546.309,1635.879,1719.06,1796.115,1868.679,1939.534,2012.232,2089.963,2174.351,2264.402,2356.045,2443.42,2522.641,2591.671,2652.723,2711.274,2775.091,2849.534,2936.585,3033.863,3137.027,3239.653,3336.984,3428.067,3514.143,3595.324,3672.295,3745.797,3816.4,3884.594,3951.159,4017.024,4083.495,4149.457,4216.475,4291.626,4384.139,4499.949,4642.324,4807.603,4986.162,5164.345,5332.079,5486.774,5630.785,5765.115,5892.366,6014.953,6131.313,6241.593,6352.106,6471.236,6604.572,6755.143,6920.182,7092.324,7260.949,7418.4
"Jordan",400,448.861,503.766,543.439,576.884,610.705,649.11,693.79,744.04,797.113,848.827,895.357,935.159,970.642,1008.891,1059.627,1129.219,1220.89,1330.877,1449.985,1565.143,1666.92,1752.689,1825.322,1887.681,1944.733,2000.538,2055.198,2108.538,2164.159,2226.485,2298.691,2383.227,2479.683,2584.859,2693.837,2803.422,2910.375,3016.54,3129.651,3260.496,3415.567,3599.359,3806.045,4019.284,4216.536,4382.005,4510.082,4606.717,4682.018,4751.501,4827.096,4910.056,4998.372,5096.79,5210.369,5342.002,5495.117,5667.443,5848.952,6025.592,6187.227
"Kuwait",414,152.251,164.017,174.287,182.833,189.856,195.987,202.317,210.366,221.984,239.197,263.718,296.442,336.991,383.526,433.288,484.205,535.698,588.171,641.694,696.61,753.142,811.187,870.446,930.744,991.885,1053.753,1116.083,1178.93,1242.872,1308.718,1376.963,1445.699,1514.013,1584.31,1659.961,1742.083,1835.819,1937.316,2028.166,2083.55,2087.687,2031.004,1924.077,1795.976,1687.552,1627.911,1628.12,1678.812,1763.693,1857.217,1940.786,2009.588,2069.816,2126.786,2189.485,2264.014,2351.441,2447.818,2548.351,2646.286,2736.732
"Lebanon",422,1442.826,1466.906,1499.688,1539.212,1583.837,1632.254,1683.491,1736.903,1792.134,1849.055,1907.573,1967.434,2028.043,2088.392,2147.273,2203.902,2256.917,2306.528,2355.38,2407.221,2464.286,2528.423,2597.588,2665.458,2723.33,2765.289,2788.641,2796.136,2794.001,2791.308,2794.638,2807.342,2827.767,2851.609,2872.204,2885.481,2888.455,2884.778,2884.84,2902.893,2948.372,3026.061,3130.785,3249.799,3364.891,3462.974,3539.137,3597.35,3644.171,3690.033,3742.329,3802.903,3868.504,3935.421,3998.042,4052.42,4097.457,4134.872,4166.915,4196.99,4227.597
"Occupied Palestinian Territory",275,931.926,923.749,931.889,948.727,968.566,987.629,1004.154,1018.301,1031.87,1047.848,1069.013,1096.461,1128.31,1159.145,1181.587,1190.923,1184.258,1164.684,1140.772,1124.574,1124.591,1144.161,1180.264,1227.284,1276.627,1322.064,1362.064,1398.736,1433.821,1470.297,1510.36,1554.6,1602.309,1652.945,1705.584,1759.763,1815.117,1872.515,1934.197,2003.149,2081.424,2169.061,2265.03,2368.849,2479.672,2596.289,2719.644,2848.359,2976.131,3094.711,3198.56,3284.92,3356.379,3419.418,3483.483,3555.582,3637.689,3728.259,3826.546,3930.672,4039.192
"Oman",512,456.418,463.724,472.021,481.071,490.695,500.77,511.231,522.071,533.334,545.106,557.492,570.581,584.427,599.034,614.39,630.553,647.678,666.021,685.892,707.663,731.703,758.06,787.002,819.375,856.23,898.286,945.679,998.1,1055.217,1116.489,1181.337,1249.858,1321.65,1395.032,1467.846,1538.575,1605.464,1668.734,1731.168,1796.822,1868.055,1947.042,2031.377,2113.398,2182.619,2232.018,2258.73,2266.469,2262.969,2259.398,2264.163,2279.171,2302.874,2335.967,2378.336,2429.51,2490.62,2561.187,2636.963,2712.141,2782.435
"Qatar",634,24.998,27.461,29.819,31.995,33.966,35.767,37.49,39.281,41.336,43.871,47.085,51.093,55.883,61.296,67.082,73.073,79.189,85.53,92.319,99.873,108.401,118.21,129.227,140.846,152.21,162.835,172.151,180.656,190.192,203.285,221.594,245.74,274.72,306.542,338.365,368.006,395.144,420.058,441.932,459.949,473.722,482.926,488.204,491.42,495.126,501.371,512.422,528.787,548.828,569.87,590.957,608.057,624.173,653.5,715.146,820.986,978.336,1178.192,1396.06,1597.765,1758.793
"Saudi Arabia",682,3121.337,3194.59,3274.903,3359.455,3446.429,3535.014,3625.448,3718.978,3817.701,3924.325,4041.422,4170.636,4311.99,4463.589,4622.46,4787.033,4957.637,5137.042,5329.207,5539.331,5771.846,6028.687,6311.207,6622.572,6966.138,7344.638,7756.072,8200.523,8684.651,9217.019,9801.475,10440.852,11126.57,11836.762,12542.098,13220.479,13862.213,14469.298,15045.709,15600.314,16139.053,16669.764,17189.075,17679.72,18117.969,18491.845,18786.467,19020.639,19256.649,19578.923,20045.276,20681.576,21463.072,22334.371,23213.767,24041.116,24799.436,25504.176,26166.639,26809.105,27448.086
"Syrian Arab Republic",760,3413.33,3496.671,3587.333,3685.409,3790.891,3903.672,4023.54,4150.185,4283.219,4422.215,4566.822,4716.875,4872.506,5034.188,5202.606,5378.287,5561.371,5751.807,5949.69,6155.081,6368.017,6588.936,6817.94,7054.361,7297.254,7546.139,7800.152,8059.995,8328.592,8609.92,8906.543,9219.69,9547.693,9886.629,10230.958,10576.592,10921.76,11267.24,11614.542,11966.274,12324.116,12690.183,13063.423,13438.799,13809.349,14171.13,14518.843,14856.464,15200.324,15572.833,15988.534,16454.926,16962.918,17490.104,18004.797,18484.122,18920.727,19321.3,19694.259,20053.743,20410.606
"Turkey",792,21238.496,21863.88,22519.048,23195.322,23885.803,24585.366,25290.73,26000.394,26714.409,27434.022,28160.579,28894.367,29633.591,30373.939,31109.82,31837.999,32556.294,33267.998,33982.141,34711.167,35464.196,36245.756,37054.168,37884.87,38730.367,39585.821,40446.729,41316.297,42206.204,43132.612,44105.216,45130.008,46198.027,47285.732,48360.679,49399.63,50393.538,51349.154,52278.499,53200.802,54130.268,55068.88,56012.109,56959.988,57911.273,58864.649,59821.978,60783.217,61742.674,62692.616,63627.862,64544.914,65446.165,66339.433,67235.927,68143.186,69063.538,69992.754,70923.73,71846.212,72752.325
"United Arab Emirates",784,69.589,67.816,69.504,72.7,76.008,78.599,80.233,81.232,82.405,84.913,89.871,97.936,108.927,121.678,134.478,146.387,156.934,167.42,180.858,201.308,231.754,272.529,322.868,383.152,453.53,533.554,624.39,724.684,828.378,927.412,1016.228,1092.153,1157.336,1217.021,1279.01,1349,1428.788,1516.782,1611.257,1709.232,1808.642,1909.812,2014.095,2121.704,2232.98,2348.539,2473.983,2611.61,2755.497,2897.038,3033.491,3149.44,3254.691,3400.959,3658.042,4069.349,4662.728,5405.541,6206.623,6938.815,7511.69
"Yemen",887,4316.001,4382.878,4454.322,4529.011,4606.037,4684.895,4765.512,4848.224,4933.703,5022.846,5116.419,5214.688,5317.095,5422.115,5527.652,5632.206,5737,5842.868,5947.698,6048.704,6144.992,6235.264,6323.38,6419.984,6539.217,6691.425,6880.62,7104.782,7360.655,7642.329,7945.18,8270.681,8620.116,8988.432,9369.068,9758.22,10149.222,10544.972,10962.489,11425.336,11948.209,12540.234,13190.192,13867.656,14530.275,15148.172,15710.211,16226.938,16716.85,17208.494,17723.186,18266.008,18831.819,19419.71,20026.117,20648.643,21288.07,21946.99,22626.595,23328.214,24052.514
"EUROPE",908,547287.12,552497.436,558036.407,563743.598,569501.626,575236.145,580918.197,586561.842,592217.327,597959.555,603853.579,609917.837,616091.955,622222.923,628104.222,633590.766,638616.272,643228.851,647538.996,651714.956,655878.615,660063.057,664227.742,668333.295,672314.074,676123.164,679760.508,683248.888,686591.375,689794.913,692869.011,695795.33,698581.19,701291.582,704013.292,706799.741,709675.927,712597.88,715463.99,718132.744,720497.133,722551.64,724315.976,725743.501,726784.452,727422.115,727625.106,727453.078,727095.509,726807.224,726777.241,727064.354,727635.75,728472.604,729522.491,730735.74,732129.046,733693.418,735317.444,736854.743,738198.601
